radius,intersection
36.0,3.0
37.0,5.0
38.0,7.0
39.0,7.0
40.0,8.0
41.0,9.0
42.0,9.0
43.0,10.0
44.0,10.0
45.0,10.0
46.0,9.0
47.0,9.0
48.0,9.0
49.0,10.0
50.0,9.0
51.0,9.0
52.0,9.0
53.0,10.0
54.0,10.0
55.0,10.0
56.0,11.0
57.0,12.0
58.0,14.0
59.0,14.0
60.0,15.0
61.0,14.0
62.0,14.0
63.0,13.0
64.0,14.0
65.0,16.0
66.0,15.0
67.0,16.0
68.0,16.0
69.0,14.0
70.0,14.0
71.0,14.0
72.0,12.0
73.0,13.0
74.0,14.0
75.0,14.0
76.0,14.0
77.0,13.0
78.0,13.0
79.0,11.0
80.0,10.0
81.0,10.0
82.0,8.0
83.0,8.0
84.0,8.0
85.0,9.0
86.0,8.0
87.0,9.0
88.0,7.0
89.0,7.0
90.0,8.0
91.0,8.0
92.0,8.0
93.0,8.0
94.0,8.0
95.0,8.0
96.0,8.0
97.0,8.0
98.0,8.0
99.0,8.0
100.0,7.0
101.0,8.0
102.0,8.0
103.0,8.0
104.0,8.0
105.0,8.0
106.0,8.0
107.0,8.0
108.0,7.0
109.0,8.0
110.0,8.0
111.0,8.0
112.0,8.0
113.0,7.0
114.0,7.0
115.0,7.0
116.0,7.0
117.0,7.0
118.0,7.0
119.0,7.0
120.0,7.0
121.0,7.0
122.0,7.0
123.0,7.0
124.0,6.0
125.0,6.0
126.0,6.0
127.0,6.0
128.0,6.0
129.0,6.0
130.0,7.0
131.0,7.0
132.0,7.0
133.0,7.0
134.0,7.0
135.0,8.0
136.0,8.0
137.0,8.0
138.0,7.0
139.0,7.0
140.0,5.0
141.0,5.0
142.0,5.0
143.0,6.0
144.0,6.0
145.0,5.0
146.0,5.0
147.0,5.0
148.0,5.0
149.0,5.0
150.0,5.0
151.0,5.0
152.0,5.0
153.0,6.0
154.0,6.0
155.0,6.0
156.0,7.0
157.0,7.0
158.0,7.0
159.0,5.0
160.0,5.0
161.0,5.0
162.0,5.0
163.0,5.0
164.0,5.0
165.0,5.0
166.0,5.0
167.0,5.0
168.0,5.0
169.0,5.0
170.0,5.0
171.0,5.0
172.0,5.0
173.0,5.0
174.0,5.0
175.0,5.0
176.0,5.0
177.0,5.0
178.0,5.0
179.0,5.0
180.0,5.0
181.0,5.0
182.0,5.0
183.0,5.0
184.0,6.0
185.0,6.0
186.0,6.0
187.0,5.0
188.0,5.0
189.0,5.0
190.0,5.0
191.0,6.0
192.0,6.0
193.0,7.0
194.0,9.0
195.0,8.0
196.0,6.0
197.0,5.0
198.0,5.0
199.0,5.0
200.0,5.0
201.0,5.0
202.0,6.0
203.0,6.0
204.0,6.0
205.0,6.0
206.0,6.0
207.0,6.0
208.0,5.0
209.0,5.0
210.0,5.0
211.0,5.0
212.0,5.0
213.0,5.0
214.0,5.0
215.0,5.0
216.0,5.0
217.0,5.0
218.0,5.0
219.0,5.0
220.0,5.0
221.0,5.0
222.0,5.0
223.0,5.0
224.0,5.0
225.0,5.0
226.0,5.0
227.0,5.0
228.0,5.0
229.0,5.0
230.0,5.0
231.0,5.0
232.0,5.0
233.0,5.0
234.0,5.0
235.0,5.0
236.0,5.0
237.0,5.0
238.0,5.0
239.0,5.0
240.0,5.0
241.0,5.0
242.0,5.0
243.0,5.0
244.0,5.0
245.0,5.0
246.0,5.0
247.0,4.0
248.0,4.0
249.0,4.0
250.0,4.0
251.0,4.0
252.0,4.0
253.0,4.0
254.0,4.0
255.0,4.0
256.0,5.0
257.0,5.0
258.0,5.0
259.0,6.0
260.0,6.0
261.0,4.0
262.0,3.0
263.0,3.0
264.0,3.0
265.0,3.0
266.0,3.0
267.0,3.0
268.0,3.0
269.0,3.0
270.0,3.0
271.0,3.0
272.0,3.0
273.0,3.0
274.0,4.0
275.0,4.0
276.0,3.0
277.0,3.0
278.0,3.0
279.0,3.0
280.0,3.0
281.0,3.0
282.0,3.0
283.0,3.0
284.0,3.0
285.0,3.0
286.0,3.0
287.0,3.0
288.0,3.0
289.0,3.0
290.0,3.0
291.0,3.0
292.0,3.0
293.0,3.0
294.0,3.0
295.0,3.0
296.0,4.0
297.0,4.0
298.0,4.0
299.0,5.0
300.0,3.0
301.0,3.0
302.0,3.0
303.0,3.0
304.0,3.0
305.0,3.0
306.0,3.0
307.0,4.0
308.0,4.0
309.0,4.0
310.0,4.0
311.0,4.0
312.0,4.0
313.0,3.0
314.0,3.0
315.0,3.0
316.0,3.0
317.0,3.0
318.0,3.0
319.0,3.0
320.0,3.0
321.0,3.0
322.0,3.0
323.0,3.0
324.0,3.0
325.0,3.0
