path_name,path_length,children,distances,parent
1,0.0,"[2, 8, 24, 27, 31, 35, 39, 40, 48]","[0, 3.9271004620170755, 4.302976664551422, 0.0, 43.92369555189864, 6.7541358255098025, 1.1099999999999, 0.0, 0.0]",
2,420.5273513172559,"[3, 4, 6, 7]","[359.47497198136807, 70.97023472768731, 60.78659809679786, 46.57411202305387]",Path 1 [Single Point] [soma]
3,10.661758978177932,[],[],Path 2
4,72.91348444546688,[5],[1.2023077808946292],Path 2
5,7.460150697781858,[],[],Path 4
6,19.688679988304393,[],[],Path 2
7,5.592300961728195,[],[],Path 2
8,622.1272102245065,"[9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23]","[609.965327439757, 543.9033960692575, 314.15911558301, 198.02261128871703, 166.93075607115128, 148.26820782446305, 136.91511610544148, 125.30171465077488, 114.78139782727077, 95.43711042223465, 61.81979915612862, 37.50284992965729]",Path 1 [Single Point] [soma]
9,11.626740002212635,[],[],Path 8
10,38.17979690595948,[11],[28.055189538423896],Path 8
11,7.85947125095216,[],[],Path 10
12,10.253828603788564,[],[],Path 8
13,8.84406249191033,[],[],Path 8
14,17.438742073995257,[],[],Path 8
15,13.426273991236355,[],[],Path 8
16,8.243582955752148,[],[],Path 8
17,7.381053054693032,[],[],Path 8
18,6.572279766678019,[],[],Path 8
19,13.124690525336609,[],[],Path 8
20,95.81559185303432,"[21, 22]","[69.14252307312763, 51.45364074477567]",Path 8
21,11.740297585922868,[],[],Path 20
22,8.834012290109865,[],[],Path 20
23,28.12852002463779,[],[],Path 8
24,90.12534028825453,"[25, 26]","[71.77924264317244, 46.58603663373302]",Path 1 [Single Point] [soma]
25,11.70029835631258,[],[],Path 24
26,15.17959552959995,[],[],Path 24
27,643.5596247976877,"[28, 29, 30]","[309.76173141984526, 98.60771068566193, 85.13335863182495]",Path 1 [Single Point] [soma]
28,19.14240087912969,[],[],Path 27
29,12.168753835438343,[],[],Path 27
30,19.984935988102322,[],[],Path 27
31,215.50255943756014,"[32, 33, 34]","[109.1938233010301, 23.380104597609325, 11.0]",Path 1 [Single Point] [soma]
32,5.148943181807571,[],[],Path 31
33,6.469979614705027,[],[],Path 31
34,20.908309521549196,[],[],Path 31
35,78.45078157099272,"[36, 37, 38]","[58.31665207670208, 50.062567740951565, 30.28927415623058]",Path 1 [Single Point] [soma]
36,9.113833621766958,[],[],Path 35
37,20.98655992020296,[],[],Path 35
38,6.8439583800586306,[],[],Path 35
39,35.80631519548689,[],[],Path 1 [Single Point] [soma]
40,347.6203635778661,"[41, 42, 43, 44, 45, 46, 47]","[320.4057493768009, 270.19421625834264, 253.84923040702392, 246.68466483263848, 90.3928130575681, 59.55471223753294, 47.429750172249726]",Path 1 [Single Point] [soma]
41,9.0,[],[],Path 40
42,6.1479165413862695,[],[],Path 40
43,10.148213925961795,[],[],Path 40
44,30.363277580685214,[],[],Path 40
45,12.644957272197928,[],[],Path 40
46,5.854277519541244,[],[],Path 40
47,4.2150716036335805,[],[],Path 40
48,116.5020702407117,[49],[97.73933631062025],Path 1 [Single Point] [soma]
49,7.071067811865475,[],[],Path 48
