path_name,path_length,children,distances,parent
1,2212.8998069597433,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 18, 20, 21, 22, 23, 24, 26, 51, 52, 53, 54, 55, 56, 57, 58, 63, 64, 65, 70, 71, 72, 73, 79, 80, 81, 82, 86, 121, 128, 129, 133, 134, 135, 137, 139, 148, 150, 244, 256]","[2208.746408484667, 2198.161383500994, 2168.629820343211, 2159.2556765687323, 2138.5153815967997, 2119.9339139047074, 2103.3766614398355, 2085.7938087932102, 2059.756387917741, 2047.6584874204104, 2030.373290574777, 2029.3703534431481, 1981.087369582891, 1979.964827824202, 1933.0822827278043, 1918.7281198596513, 1913.2425808544492, 1898.2615089432502, 1882.9238493868143, 1864.1589730299938, 1815.1608186181877, 1805.5203349259848, 1798.5421015768359, 1795.5037010066749, 1783.1982920261878, 1761.6286032171145, 1546.7997171367285, 1515.0213333106808, 1362.8321407252902, 1206.1319912479407, 1149.1233988723563, 1067.566805489532, 1063.2274294555511, 1006.4721258455133, 938.4986043961192, 892.2067591800617, 794.2358025935063, 634.1918756061124, 517.6028579773013, 319.94850330914966, 299.59227862065705, 259.9122737756391, 252.28524292981706, 86.33749745729654, 78.96250620673885, 65.42299455661546, 54.202192366788175, 38.124086150591424, 3.927079970029829, 0.0, 0.0, 0.0]",
2,9.560613273861295,[],[],Path 1 [undefined]
3,12.16846789791388,[],[],Path 1 [undefined]
4,20.534696051970336,[5],[6.849338031325424],Path 1 [undefined]
5,10.1765535158844,[],[],Path 4 [undefined]
6,6.4542772657604734,[],[],Path 1 [undefined]
7,37.60757250628603,[],[],Path 1 [undefined]
8,5.055906262551858,[],[],Path 1 [undefined]
9,1.0,[],[],Path 1 [undefined]
10,13.837954076455276,[],[],Path 1 [undefined]
11,8.996975610569962,[],[],Path 1 [undefined]
12,21.843978273465023,[],[],Path 1 [undefined]
13,12.49038665967965,[14],[8.149315286841508],Path 1 [undefined]
14,3.0,[],[],Path 13 [undefined]
15,58.35753588158415,[],[],Path 1 [undefined]
16,73.63049734459204,[17],[72.33301307412859],Path 1 [undefined]
17,7.8434528592517605,[],[],Path 16 [undefined]
18,53.39092383318149,[19],[10.947325446835018],Path 1 [undefined]
19,4.597602094660276,[],[],Path 18 [undefined]
20,14.917772083958305,[],[],Path 1 [undefined]
21,22.84552452141398,[],[],Path 1 [undefined]
22,6.98788569250007,[],[],Path 1 [undefined]
23,26.005767538351982,[],[],Path 1 [undefined]
24,15.961760111573598,[25],[4.839548402406383],Path 1 [undefined]
25,6.0,[],[],Path 24 [undefined]
26,253.45640990671228,"[27, 28, 29, 31, 36, 37, 38, 39, 40, 49, 50]","[241.42138896583847, 212.70397359964142, 168.93767664121273, 148.79055661490455, 131.07031694316973, 129.96108297326074, 122.29755801195616, 81.67676337743276, 60.156277751867094, 53.71292806798361, 43.92151168168805]",Path 1 [undefined]
27,10.897402396922127,[],[],Path 26 [undefined]
28,25.835794319422416,[],[],Path 26 [undefined]
29,19.4263285841102,[30],[2.233478739879157],Path 26 [undefined]
30,8.466278360734146,[],[],Path 29 [undefined]
31,78.70025761205379,"[32, 33]","[23.681331182565646, 22.59671143352912]",Path 26 [undefined]
32,22.067721719591326,[],[],Path 31 [undefined]
33,28.6990226968195,"[34, 35]","[21.840948308664647, 11.22312358819411]",Path 31 [undefined]
34,6.395206975669148,[],[],Path 33 [undefined]
35,7.2741071760689335,[],[],Path 33 [undefined]
36,9.540116732516157,[],[],Path 26 [undefined]
37,6.42582860220068,[],[],Path 26 [undefined]
38,7.228837233352351,[],[],Path 26 [undefined]
39,8.784234222573044,[],[],Path 26 [undefined]
40,124.35399141639031,"[41, 42, 43, 44, 46, 48]","[124.35399141639031, 90.62540023072509, 89.38137450751837, 71.33775465797216, 21.64596317536693, 0.0]",Path 26 [undefined]
41,8.6231977089107,[],[],Path 40 [undefined]
42,30.888749244641215,[],[],Path 40 [undefined]
43,10.456012781542412,[],[],Path 40 [undefined]
44,30.040307463254926,[45],[13.829323044816906],Path 40 [undefined]
45,5.6568717369958765,[],[],Path 44 [undefined]
46,39.50332950000397,[47],[27.416900688196524],Path 40 [undefined]
47,11.0,[],[],Path 46 [undefined]
48,8.29556688823776,[],[],Path 40 [undefined]
49,5.656871736995877,[],[],Path 26 [undefined]
50,6.149408386460542,[],[],Path 26 [undefined]
51,17.067032099150918,[],[],Path 1 [undefined]
52,25.586765406485338,[],[],Path 1 [undefined]
53,5.016977645005688,[],[],Path 1 [undefined]
54,13.219859234914754,[],[],Path 1 [undefined]
55,10.149322529486607,[],[],Path 1 [undefined]
56,20.070259891603428,[],[],Path 1 [undefined]
57,7.764652371888728,[],[],Path 1 [undefined]
58,83.4773298377667,"[59, 60, 62]","[79.21485875042397, 63.21634832936768, 61.16255594370439]",Path 1 [undefined]
59,5.260440916624347,[],[],Path 58 [undefined]
60,17.731674184156308,[61],[2.827720216925832],Path 58 [undefined]
61,5.20406101532731,[],[],Path 60 [undefined]
62,22.378647047162712,[],[],Path 58 [undefined]
63,82.48109755064881,[],[],Path 1 [undefined]
64,20.954437702802128,[],[],Path 1 [undefined]
65,302.07720382040185,"[66, 68, 69]","[88.55390406225837, 49.518521110085906, 18.457504703458827]",Path 1 [undefined]
66,27.814552417787343,[67],[17.005323378786155],Path 65 [undefined]
67,8.57504594307838,[],[],Path 66 [undefined]
68,8.318127870189596,[],[],Path 65 [undefined]
69,22.591183663658317,[],[],Path 65 [undefined]
70,21.243610057211274,[],[],Path 1 [undefined]
71,61.92749964142551,[],[],Path 1 [undefined]
72,28.83343382492019,[],[],Path 1 [undefined]
73,907.6443024182001,"[74, 75, 76, 77, 78]","[556.6127446348546, 492.41490594576, 385.8835855497813, 12.43517445923332, 2.0062291061661264]",Path 1 [undefined]
74,10.346816179287208,[],[],Path 73 [undefined]
75,9.124771394626821,[],[],Path 73 [undefined]
76,6.3904219610278865,[],[],Path 73 [undefined]
77,34.317831947006646,[],[],Path 73 [undefined]
78,5.458730325783431,[],[],Path 73 [undefined]
79,33.12382898522531,[],[],Path 1 [undefined]
80,115.45589774122851,[],[],Path 1 [undefined]
